Station_code,Station_name,Latitude,Longitude,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
78129,Opp Blk 233,1.375131358,103.9621203,4,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
78131,Pasir Ris Pr Sch,1.373084724,103.9637272,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78139,Opp Pasir Ris Pr Sch,1.373218045,103.9639886,4,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
78141,Greenview Sec Sch,1.370058899,103.9636652,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78149,Opp Greenview Sec Sch,1.369701053,103.9641189,6,LOYANG WEST,PRSZ06,PASIR RIS,PR,EAST REGION,ER
78151,Blk 230,1.372394963,103.9607802,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78159,Opp Blk 230,1.372464739,103.9605378,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78161,Blk 216,1.369004997,103.9605218,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78169,Opp Blk 216,1.36906973,103.960248,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78171,Blk 108,1.367800025,103.9567381,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78179,Opp Blk 108,1.36767,103.95648,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78181,Bef Blk 187,1.36476142,103.959058,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78189,Opp Opp Blk 187,1.3646,103.95896,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78191,Aft Blk 182,1.36488943,103.9617691,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78199,Opp White Sands Pri Sch,1.36477,103.96189,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78201,Opp Blk 242,1.371346892,103.9620566,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78209,Blk 242,1.371365031,103.9622142,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78211,Blk 204,1.367902559,103.9624368,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78219,Opp Blk 204,1.367256945,103.9632782,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78221,Blk 231A CP,1.374175177,103.9612256,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78229,Blk 485,1.374111399,103.9609385,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78231,Opp Blk 482,1.373443032,103.9598604,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78241,Bet Blks 453/454,1.372110009,103.9576532,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78251,Lighthouse,1.378240905,103.9595522,4,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
78259,Opp Lighthouse,1.378021153,103.9593658,4,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
78261,Opp Ripple Bay,1.378658311,103.9606174,4,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
