FID,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID_2,Join_Cou_1,TARGET_F_1,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,population,commerical,Shape_Leng,floor,Shape_Le_1,Shape_Area,memebershi,membership,Field1,V1,V2,V3
75,84,1,83,84,1,83,84,6,ISTANA NEGARA,NTSZ06,50,51649,3730.341054,51649,3730.341054,543483.681,Choa Chu Kang,Central,158,NTSZ06,11,1
76,85,910,84,85,983,84,85,2,LITTLE INDIA,RCSZ02,3620,140950,2203.280258,149661,2203.280258,278303.5433,East Coast,Central,210,RCSZ02,4,1
77,86,0,85,86,0,85,86,4,GUL BASIN,PNSZ04,20,0,9465.222183,0,9465.222183,1769495.161,Tuas,Tuas,184,PNSZ04,10,11
78,87,2,86,87,2,86,87,2,FORT CANNING,MUSZ02,180,10668.09961,2585.229404,10668.09961,2585.229404,385093.1134,Central,Central,152,MUSZ02,1,1
79,88,1,87,88,2,87,88,8,FARRER COURT,BTSZ08,6000,2949.51001,4192.289528,3807.209961,4192.289528,558760.5316,Central,West Coast,68,BTSZ08,1,4
80,89,2,88,89,2,88,89,5,TUAS VIEW,TSSZ05,10,4613.47998,11013.62449,4613.47998,11013.62449,5675810.846,Tuas,Tuas,283,TSSZ05,10,11
81,90,3,89,90,4,89,90,1,NASSIM,TNSZ01,9120,63807.10156,6241.332877,69278.60156,6241.332877,2096085.23,Central,Central,263,TNSZ01,1,1
82,91,0,90,91,0,90,91,5,WEST COAST,CLSZ05,6010,0,3644.131828,0,3644.131828,722588.6837,West Coast,Jurong,83,CLSZ05,2,2
83,92,0,91,92,0,91,92,8,BAYSHORE,BDSZ08,7310,0,8698.596958,0,8698.596958,2550461.673,East Coast,Changi,20,BDSZ08,4,8
84,93,1,92,93,1,92,93,3,BENOI SECTOR,PNSZ03,10,3013.219971,6249.477068,3013.219971,6249.477068,2042630.98,Tuas,Tuas,183,PNSZ03,10,11
85,94,1,93,94,4,93,94,2,GUL CIRCLE,PNSZ02,40,3299.350098,7268.450752,8213.870117,7268.450752,3260399.459,Tuas,Tuas,182,PNSZ02,10,11
86,95,1,94,95,2,94,95,2,CHATSWORTH,TNSZ02,6280,2133.22998,5469.441095,2523.550049,5469.441095,1346152.777,Central,Central,264,TNSZ02,1,1
87,96,496,95,96,525,95,96,5,KAMPONG GLAM,RCSZ05,180,101607,1681.626995,104472,1681.626995,171334.392,Central,Central,213,RCSZ05,1,1
88,97,10,96,97,11,96,97,8,SELEGIE,RCSZ08,230,70306,1478.04997,85273.70313,1478.04997,49626.01833,Toa Payoh,Central,215,RCSZ08,5,1
89,99,0,98,99,0,98,99,4,ROCHOR CANAL,RCSZ04,10,0,1686.009453,0,1686.009453,120171.3212,Central,Central,212,RCSZ04,1,1
90,100,9,99,100,10,99,100,9,CRAWFORD,KLSZ09,9350,110716,4634.784296,115591,4634.784296,850853.9138,Central,Central,142,KLSZ09,1,1
91,101,1,100,101,2,100,101,5,MARGARET DRIVE,QTSZ05,14320,6107.890137,5969.645039,9105.339844,5969.645039,1026467.393,Central,West Coast,198,QTSZ05,1,4
92,102,13,101,102,27,101,102,1,TANGLIN,ORSZ01,410,178560,1864.488665,228654,1864.488665,167537.0654,Central,Central,164,ORSZ01,1,1
93,103,15,102,103,23,102,103,3,MARINE PARADE,MPSZ03,28080,190723,6019.279096,228859,6019.279096,1160017.478,East Coast,East Coast,149,MPSZ03,4,3
94,104,3,103,104,17,103,104,7,JURONG RIVER,JESZ07,10,161925,6612.903231,576210,6612.903231,2560995.937,West Coast,Jurong,121,JESZ07,2,2
95,105,1,104,105,1,104,105,2,GEYLANG BAHRU,KLSZ02,12320,15221.5,3745.034017,15221.5,3745.034017,735502.2264,Toa Payoh,East Coast,135,KLSZ02,5,3
96,106,0,105,106,0,105,106,3,FABER,CLSZ03,4620,0,4665.755981,0,4665.755981,948158.9135,West Coast,Jurong,81,CLSZ03,2,2
97,107,0,106,107,0,106,107,3,MALCOLM,NVSZ03,2690,0,5346.80972,0,5346.80972,1321089.881,Toa Payoh,Central,161,NVSZ03,5,1
98,108,0,107,108,0,107,108,6,BEDOK SOUTH,BDSZ06,48990,0,7811.589025,0,7811.589025,2997307.459,East Coast,Changi,18,BDSZ06,4,8
99,109,1,108,109,1,108,109,1,BENDEMEER,KLSZ01,34860,4493.009766,5603.000911,4493.009766,5603.000911,1376830.045,Toa Payoh,East Coast,134,KLSZ01,5,3
100,110,22,109,110,31,109,110,1,BALESTIER,NVSZ01,32470,127861,6804.341011,151278,6804.341011,1926622.002,Toa Payoh,Toa Payoh,159,NVSZ01,5,9
101,111,2,110,111,2,110,111,4,TUAS BAY,TSSZ04,20,9009.55957,10583.71113,9009.55957,10583.71113,3203306.037,Tuas,Tuas,282,TSSZ04,10,11
102,112,2,111,112,3,111,112,1,JOO KOON,PNSZ01,30,119966,8601.202816,121803,8601.202816,2349378.266,Tuas,Tuas,181,PNSZ01,10,11
103,113,141,112,113,201,112,113,1,KALLANG WAY,GLSZ01,40,749337,4055.202723,951556,4055.202723,963198.8794,Toa Payoh,East Coast,100,GLSZ01,5,3
104,114,18,113,114,26,113,114,6,INTERNATIONAL BUSINESS PARK,JESZ06,10,612157,3024.275837,802568,3024.275837,485022.3064,West Coast,Jurong,120,JESZ06,2,2
105,115,1,114,115,2,114,115,1,TUKANG,BLSZ01,10,1720.030029,6899.999456,3337.189941,6899.999456,1881305.829,Jurong,Jurong,30,BLSZ01,7,2
106,116,1,115,116,1,115,116,6,CORONATION ROAD,BTSZ06,6260,6443.120117,5905.904193,6443.120117,5905.904193,1425083.177,West Coast,West Coast,66,BTSZ06,2,4
107,117,80,116,117,90,116,117,3,KEMBANGAN,BDSZ03,38690,401994,6785.111707,551609,6785.111707,2387277.532,East Coast,East Coast,15,BDSZ03,4,3
108,118,173,117,118,203,117,118,2,KATONG,MPSZ02,9430,128107,5062.814851,143636,5062.814851,1078992.025,East Coast,East Coast,148,MPSZ02,4,3
109,119,12,118,119,16,118,119,2,HOLLAND DRIVE,QTSZ02,13610,90265,3420.329337,118626,3420.329337,459546.2858,Central,West Coast,195,QTSZ02,1,4
110,120,169,119,120,185,119,120,1,FARRER PARK,RCSZ01,2950,156087,2540.960363,200787,2540.960363,247887.633,Toa Payoh,Central,209,RCSZ01,5,1
111,121,3,120,121,3,120,121,3,NEWTON CIRCUS,NTSZ03,230,71683.5,2399.4073,71683.5,2399.4073,213581.642,Central,Central,156,NTSZ03,1,1
112,122,0,121,122,0,121,122,9,JURONG PORT,JESZ09,0,0,11355.00222,0,11355.00222,2464856.701,Jurong,Jurong,123,JESZ09,7,2
113,123,0,122,123,1,122,123,3,SAMULUN,BLSZ03,20,0,8738.679385,965.6690063,8738.679385,1940693.424,Jurong,Jurong,32,BLSZ03,7,2
114,124,1,123,124,1,123,124,4,SHIPYARD,BLSZ04,10,1857.329956,6422.042112,1857.329956,6422.042112,2118499.409,Jurong,Tuas,33,BLSZ04,7,11
115,125,0,124,125,0,124,125,1,GHIM MOH,QTSZ01,11730,0,3223.645504,0,3223.645504,485046.9227,West Coast,West Coast,194,QTSZ01,2,4
116,126,415,125,126,462,125,126,6,LAVENDER,KLSZ06,9990,373683,3609.150463,436591,3609.150463,757907.6111,Toa Payoh,Central,139,KLSZ06,5,1
117,127,2,126,127,2,126,127,2,GOODWOOD PARK,NTSZ02,1060,34245.39844,2798.598501,34245.39844,2798.598501,351242.2536,Central,Central,155,NTSZ02,1,1
118,128,0,127,128,0,127,128,9,PANDAN,CLSZ09,10,0,5689.646944,0,5689.646944,1312922.681,West Coast,Jurong,87,CLSZ09,2,2
119,129,0,128,129,0,128,129,9,SINGAPORE POLYTECHNIC,QTSZ09,130,0,4666.970068,0,4666.970068,946651.4186,West Coast,West Coast,202,QTSZ09,2,4
120,130,2,129,130,2,129,130,6,CLEMENTI CENTRAL,CLSZ06,13100,8627.009766,3630.189223,8627.009766,3630.189223,748043.2767,West Coast,Jurong,84,CLSZ06,2,2
121,131,1,130,131,1,130,131,7,KAMPONG JAVA,KLSZ07,10850,5264.330078,4344.612171,5264.330078,4344.612171,1022292.301,Toa Payoh,Central,140,KLSZ07,5,1
122,132,1,131,132,1,131,132,3,BOON KENG,KLSZ03,12300,3945.110107,2972.111045,3945.110107,2972.111045,410994.5447,Toa Payoh,East Coast,136,KLSZ03,5,3
123,133,65,132,133,100,132,133,8,KALLANG BAHRU,KLSZ08,30,904868,3710.904602,1256730,3710.904602,839488.9772,Toa Payoh,East Coast,141,KLSZ08,5,3
124,134,0,133,134,0,133,134,4,ULU PANDAN,BTSZ04,10750,0,6626.667183,0,6626.667183,1228487.734,West Coast,West Coast,64,BTSZ04,2,4
125,135,8,134,135,15,134,135,5,JURONG GATEWAY,JESZ05,250,422951,3096.98411,739653,3096.98411,554623.6757,West Coast,Jurong,119,JESZ05,2,2
126,136,0,135,136,0,135,136,3,HOLLAND ROAD,BTSZ03,10440,0,8185.197323,0,8185.197323,3392897.364,West Coast,West Coast,63,BTSZ03,2,4
127,137,117,136,137,158,136,137,3,KAMPONG UBI,GLSZ03,12600,1971320,5573.532918,2327530,5573.532918,1878092.478,East Coast,East Coast,102,GLSZ03,4,3
128,138,0,137,138,0,137,138,11,SENNETT,TPSZ11,4960,0,3836.105793,0,3836.105793,867750.4373,Toa Payoh,East Coast,277,TPSZ11,5,3
129,139,0,138,139,0,138,139,9,POTONG PASIR,TPSZ09,12030,0,3496.881664,0,3496.881664,639143.5594,Toa Payoh,East Coast,275,TPSZ09,5,3
130,140,3,139,140,3,139,140,3,TUAS NORTH,TSSZ03,20,9213.599609,7702.824948,9213.599609,7702.824948,3260150.857,Tuas,Tuas,281,TSSZ03,10,11
131,141,3,140,141,5,140,141,6,PEI CHUN,TPSZ06,11250,134599,2901.789416,230452,2901.789416,411403.9371,Toa Payoh,Toa Payoh,272,TPSZ06,5,9
132,142,5,141,142,8,141,142,4,BOON TECK,TPSZ04,14340,56263.60156,2626.136593,111555,2626.136593,418657.3583,Toa Payoh,Toa Payoh,270,TPSZ04,5,9
133,143,3,142,143,5,142,143,6,KIAN TECK,JWSZ06,50,22374.5,8830.555258,87758.89844,8830.555258,2098176.496,Jurong,Jurong,130,JWSZ06,7,2
134,144,0,143,144,0,143,144,7,SAFTI,JWSZ07,0,0,5137.717772,0,5137.717772,1524551.335,Jurong,Tuas,131,JWSZ07,7,11
135,145,0,144,145,0,144,145,8,WOODLEIGH,TPSZ08,2420,0,3778.890574,0,3778.890574,813382.9814,Toa Payoh,East Coast,274,TPSZ08,5,3
136,146,2,145,146,5,145,146,4,TAMAN JURONG,JWSZ04,37400,81926.60156,6583.694096,170802,6583.694096,1484296.473,Jurong,Jurong,128,JWSZ04,7,2
137,147,3,146,147,3,146,147,4,LAKESIDE,JESZ04,910,47666.5,8828.63383,47666.5,8828.63383,3108023.274,West Coast,Jurong,118,JESZ04,2,2
138,148,2,147,148,7,147,148,1,TOA PAYOH WEST,TPSZ01,12910,21293.19922,4516.839966,103677,4516.839966,1037281.094,Toa Payoh,Toa Payoh,267,TPSZ01,5,9
